Sample_Key,Material,Sample_ID,Spectrometer,Purity,Measurement_Type,Wavelength_um,Band_Number,Reflectance_Value
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,0.556315,1,0.80462074
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,0.65941089,2,0.84209841
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,0.80655748,3,0.85807818
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,1.6560333,4,0.88502693
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,2.1667836,5,0.85506463
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,2.2086763,6,0.82695198
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,2.2647955,7,0.72771072
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,2.334295,8,0.71396405
Dolomite_COD2005,Dolomite,COD2005,BECK,b,AREF,2.3976188,9,0.78230119
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,0.556315,1,0.88791347
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,0.65941089,2,0.90497017
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,0.80655748,3,0.91117656
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,1.6560333,4,0.91131485
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,2.1667836,5,0.91222924
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,2.2086763,6,0.90600753
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,2.2647955,7,0.88437009
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,2.334295,8,0.88100964
Dolomite_HS102.1B,Dolomite,HS102.1B,ASDNG,b,AREF,2.3976188,9,0.89809531
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,0.556315,1,
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,0.65941089,2,
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,0.80655748,3,
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,1.6560333,4,0.54021919
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,2.1667836,5,0.56051773
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,2.2086763,6,0.54826152
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,2.2647955,7,0.49079484
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,2.334295,8,0.47614437
Dolomite_HS102.3B,Dolomite,HS102.3B,NIC4,bbb,RREF,2.3976188,9,0.51341295
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,0.556315,1,0.60753006
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,0.65941089,2,0.60819948
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,0.80655748,3,0.6028133
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,1.6560333,4,0.58596593
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,2.1667836,5,0.55145973
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,2.2086763,6,0.52195698
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,2.2647955,7,0.41075957
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,2.334295,8,0.40081966
Dolomite_HS102.4B,Dolomite,HS102.4B,ASDNG,b,AREF,2.3976188,9,0.47958764
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,0.556315,1,0.54615682
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,0.65941089,2,0.58125496
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,0.80655748,3,0.44160017
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,1.6560333,4,0.45501319
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,2.1667836,5,0.39939749
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,2.2086763,6,0.35390756
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,2.2647955,7,0.23045191
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,2.334295,8,0.21809956
Dolomite_ML97-3_Ferroan,Dolomite,ML97-3_Ferroan,ASDFR,b,AREF,2.3976188,9,0.27791005
